store_id,uptime_last_hour (mins),uptime_last_day (hrs),uptime_last_week (hrs),downtime_last_hour (mins),downtime_last_day (hrs),downtime_last_week (hrs)
2258878346957942400,0,22.05,40.04,0,1.95,55.51
2279429598575543174,0,24.00,95.55,0,0.00,0.00
2291779354698074222,0,0.00,0.00,0,24.00,95.54
2310250326616994743,0,24.00,95.62,0,0.00,0.00
2318974247451405361,0,24.00,95.61,0,0.00,0.00
2325017328705377297,0,0.00,0.00,0,24.00,95.61
2329559547889731843,0,24.00,95.68,0,0.00,0.00
2345841415251125042,0,0.00,0.00,0,24.00,95.61
2346857242010567503,0,0.00,0.00,0,24.00,95.69
2357934142178929417,0,24.00,95.60,0,0.00,0.00
2375113632336152089,0,0.00,0.00,0,0.00,24.00
2472200369622349061,0,24.00,95.62,0,0.00,0.00
2490689736718747636,0,24.00,95.68,0,0.00,0.00
2495220688672274058,0,24.00,95.62,0,0.00,0.00
2504967330850588288,0,24.00,95.60,0,0.00,0.00
2512216828840487591,0,0.00,0.00,0,24.00,95.68
2541868558652218376,0,24.00,95.68,0,0.00,0.00
2575240301672143405,0,24.00,95.68,0,0.00,0.00
2608347699582437935,0,24.00,95.61,0,0.00,0.00
2648288385785883472,0,0.00,0.00,0,24.00,95.68
2685848452883085331,0,24.00,95.62,0,0.00,0.00
2691579307181880038,0,24.00,95.52,0,0.00,0.00
2722198466791342198,0,23.03,90.25,0,0.97,5.43
2740268051178659811,0,24.00,95.68,0,0.00,0.00
2740765248668571709,0,24.00,95.64,0,0.00,0.00
2751753610356133111,0,24.00,95.68,0,0.00,0.00
2760159884831666460,0,24.00,95.68,0,0.00,0.00
2767103577068068757,0,24.00,95.52,0,0.00,0.00
2771662655433076914,0,24.00,95.54,0,0.00,0.00
2778352823903630358,0,24.00,95.60,0,0.00,0.00
2779437724831243731,0,24.00,95.61,0,0.00,0.00
2793450097458045553,0,24.00,95.62,0,0.00,0.00
2822332228064325947,0,24.00,94.52,0,0.00,1.09
2866550322230314538,0,0.00,0.00,0,24.00,95.61
2888096798405660999,0,24.00,95.62,0,0.00,0.00
2892878649113252550,0,19.99,63.05,0,4.01,32.58
2907194384599933408,0,24.00,95.68,0,0.00,0.00
2918806378855230985,0,14.07,95.53,0,9.93,0.00
2941025066380830836,0,0.00,0.00,0,24.00,95.61
2952608445225145654,0,0.00,0.00,0,24.00,95.68
2959159932157163101,0,24.00,95.53,0,0.00,0.00
2991038897811066695,0,24.00,95.51,0,0.00,0.00
2991139440306437154,0,24.00,95.62,0,0.00,0.00
3025352371197068957,0,24.00,93.04,0,0.00,2.50
3062003031313615048,0,24.00,95.65,0,0.00,0.00
