store_id,uptime_last_hour (mins),uptime_last_day (hrs),uptime_last_week (hrs),downtime_last_hour (mins),downtime_last_day (hrs),downtime_last_week (hrs)
1999256227161107821,60,24.00,120.00,0,0.00,0.00
2003701149761575206,60,24.00,119.50,0,0.00,0.50
2035246497231353252,60,21.97,120.00,0,2.03,0.00
2054851869429909191,60,24.00,120.00,0,0.00,0.00
2057963137235512954,60,24.00,120.00,0,0.00,0.00
2069513608455411178,0,22.54,120.00,60,1.46,0.00
2071651191289585663,60,22.98,115.42,0,1.02,4.58
2076590970434241071,60,24.00,120.00,0,0.00,0.00
2093727077007104591,0,0.00,0.00,60,24.00,120.00
2120132710402954517,0,0.00,0.00,60,24.00,120.00
2135668498092449388,0,13.05,58.73,60,10.95,61.27
2162076502743381159,60,24.00,120.00,0,0.00,0.00
2182729689083715250,0,0.00,0.00,60,24.00,120.00
2198373184013936867,60,22.95,118.03,0,1.05,1.97
2209431418597613367,0,0.00,0.00,60,24.00,120.00
2219122341590683967,60,24.00,120.00,0,0.00,0.00
2225463778773087588,60,24.00,120.00,0,0.00,0.00
2232813823426768775,60,23.00,118.02,0,1.00,1.98
2234967790715613160,60,24.00,120.00,0,0.00,0.00
2243425213214550229,60,24.00,94.04,0,0.00,25.96
2258878346957942400,60,16.50,91.20,0,7.50,28.80
2279429598575543174,60,24.00,120.00,0,0.00,0.00
2291779354698074222,0,0.00,0.00,60,24.00,120.00
2310250326616994743,60,21.97,120.00,0,2.03,0.00
2318974247451405361,60,24.00,120.00,0,0.00,0.00
2325017328705377297,0,0.00,0.00,60,24.00,120.00
2329559547889731843,60,24.00,120.00,0,0.00,0.00
2345841415251125042,0,0.00,0.00,60,24.00,120.00
2346857242010567503,0,0.00,0.00,60,24.00,120.00
2357934142178929417,60,24.00,120.00,0,0.00,0.00
2375113632336152089,0,0.00,0.00,0,0.00,48.00
2472200369622349061,60,24.00,120.00,0,0.00,0.00
2490689736718747636,60,24.00,120.00,0,0.00,0.00
2495220688672274058,60,24.00,120.00,0,0.00,0.00
2504967330850588288,60,24.00,120.00,0,0.00,0.00
2512216828840487591,0,0.00,0.00,60,24.00,120.00
2541868558652218376,60,24.00,120.00,0,0.00,0.00
2575240301672143405,60,21.95,120.00,0,2.05,0.00
2608347699582437935,60,24.00,120.00,0,0.00,0.00
2648288385785883472,0,0.00,0.00,60,24.00,120.00
2685848452883085331,60,24.00,120.00,0,0.00,0.00
2691579307181880038,60,16.00,120.00,0,8.00,0.00
2722198466791342198,60,22.97,114.39,0,1.03,5.61
2740268051178659811,60,24.00,120.00,0,0.00,0.00
2740765248668571709,60,24.00,120.00,0,0.00,0.00
2751753610356133111,60,24.00,120.00,0,0.00,0.00
2760159884831666460,60,24.00,120.00,0,0.00,0.00
2767103577068068757,60,24.00,120.00,0,0.00,0.00
2771662655433076914,60,16.00,119.01,0,8.00,0.99
2778352823903630358,60,24.00,120.00,0,0.00,0.00
2779437724831243731,60,24.00,120.00,0,0.00,0.00
2793450097458045553,60,24.00,120.00,0,0.00,0.00
2822332228064325947,60,24.00,118.91,0,0.00,1.09
2866550322230314538,0,0.00,0.00,60,24.00,120.00
2888096798405660999,60,24.00,120.00,0,0.00,0.00
2892878649113252550,28,19.99,100.76,32,4.01,19.24
2907194384599933408,60,24.00,120.00,0,0.00,0.00
2918806378855230985,0,6.98,120.00,60,17.02,0.00
2941025066380830836,0,0.00,0.00,60,24.00,120.00
2952608445225145654,0,0.00,0.00,60,24.00,120.00
2959159932157163101,60,24.00,120.00,0,0.00,0.00
2991038897811066695,60,24.00,120.00,0,0.00,0.00
2991139440306437154,60,24.00,120.00,0,0.00,0.00
3025352371197068957,60,24.00,117.50,0,0.00,2.50
3062003031313615048,60,24.00,120.00,0,0.00,0.00
3065866351237099297,60,24.00,120.00,0,0.00,0.00
3073417426454051666,0,22.52,120.00,60,1.48,0.00
3098113175925350158,60,21.95,120.00,0,2.05,0.00
3101208848771000364,60,24.00,120.00,0,0.00,0.00
3121852553741673001,60,22.99,115.51,0,1.01,4.49
3124870606315260549,60,24.00,120.00,0,0.00,0.00
3134829338441709388,60,24.00,119.02,0,0.00,0.98
3137279180682498020,60,24.00,120.00,0,0.00,0.00
3138536121858156832,60,24.00,120.00,0,0.00,0.00
3147193634072302011,60,24.00,120.00,0,0.00,0.00
3149263227065564485,60,24.00,120.00,0,0.00,0.00
3156805818421345260,60,24.00,120.00,0,0.00,0.00
3161124854982343349,60,24.00,120.00,0,0.00,0.00
3163214730828980262,0,0.00,0.00,60,24.00,120.00
3164104648370225734,60,24.00,120.00,0,0.00,0.00
3171773961415632437,0,0.00,0.00,60,24.00,120.00
3182296056281221799,60,24.00,120.00,0,0.00,0.00
3195911228327285325,60,24.00,120.00,0,0.00,0.00
3200128805060032785,0,7.96,120.00,60,16.04,0.00
3208594103648663262,60,24.00,120.00,0,0.00,0.00
3214891449343177494,60,24.00,120.00,0,0.00,0.00
3228783726672848150,60,16.43,101.90,0,7.57,18.10
3236594002592852597,60,24.00,120.00,0,0.00,0.00
3269418707376749077,60,24.00,120.00,0,0.00,0.00
3280733156354851683,60,24.00,120.00,0,0.00,0.00
3298087289432029574,0,0.00,0.00,60,24.00,120.00
3304832135869406624,60,22.95,118.00,0,1.05,2.00
3334892885118822706,60,24.00,120.00,0,0.00,0.00
3354378513684691706,60,24.00,120.00,0,0.00,0.00
3388156940583061838,60,24.00,120.00,0,0.00,0.00
3414836291417592427,0,0.00,0.00,60,24.00,120.00
3443097240382169502,60,24.00,120.00,0,0.00,0.00
3445028062091304717,60,24.00,120.00,0,0.00,0.00
3447288238889078616,60,24.00,120.00,0,0.00,0.00
3451377844596409416,60,24.00,120.00,0,0.00,0.00
3455640056614005343,0,0.00,0.00,60,24.00,120.00
3470900862425905960,60,24.00,120.00,0,0.00,0.00
3487924512625141573,60,21.99,120.00,0,2.01,0.00
3488124198783589340,60,22.98,117.50,0,1.02,2.50
3491046341136078966,0,0.00,0.00,60,24.00,120.00
3505351204259761995,0,14.52,0.00,60,9.48,120.00
3510543493873200136,0,0.00,0.00,60,24.00,120.00
3523692100880174506,60,24.00,120.00,0,0.00,0.00
3530571870158970777,60,24.00,120.00,0,0.00,0.00
3565469892942152873,60,23.02,117.99,0,0.98,2.01
3569389329630528373,60,24.00,120.00,0,0.00,0.00
3575498747069270660,60,24.00,120.00,0,0.00,0.00
3577831220515774030,0,18.53,120.00,60,5.47,0.00
3588760560143669684,60,24.00,120.00,0,0.00,0.00
3591804965179614247,60,24.00,120.00,0,0.00,0.00
3607175595900238487,60,24.00,120.00,0,0.00,0.00
3610105328650536875,29,23.00,116.88,31,1.00,3.12
3619294655848144949,60,24.00,120.00,0,0.00,0.00
3623710220149720782,60,24.00,119.01,0,0.00,0.99
3630372629238271078,60,21.95,120.00,0,2.05,0.00
3633035318399142413,60,24.00,120.00,0,0.00,0.00
3638420872186967096,60,24.00,120.00,0,0.00,0.00
3640932365933586865,60,24.00,120.00,0,0.00,0.00
3655527061478834213,0,0.00,48.00,0,0.00,0.00
3657062410664399937,60,24.00,120.00,0,0.00,0.00
3681929269050303951,60,24.00,120.00,0,0.00,0.00
3717099572038476304,60,23.00,114.38,0,1.00,5.62
3724608275871891817,60,24.00,120.00,0,0.00,0.00
3725666956153825850,60,24.00,120.00,0,0.00,0.00
3731243268234793156,60,24.00,119.02,0,0.00,0.98
3745778341026579379,0,0.00,0.00,60,24.00,120.00
3747425348180577836,60,24.00,120.00,0,0.00,0.00
3768770262374707027,60,24.00,120.00,0,0.00,0.00
3776128726109751908,60,24.00,120.00,0,0.00,0.00
3809447617662697651,0,0.00,0.00,60,24.00,120.00
3811723403992671863,60,24.00,120.00,0,0.00,0.00
3815092217784924746,60,24.00,101.05,0,0.00,18.95
3831047551770936136,31,24.00,120.00,0,0.00,0.00
3843732253862953447,60,24.00,113.96,0,0.00,6.04
3844361742941633821,60,24.00,120.00,0,0.00,0.00
3863901777055984105,60,24.00,120.00,0,0.00,0.00
3878794775425016686,0,0.00,0.00,60,24.00,120.00
3883597061183981735,60,24.00,120.00,0,0.00,0.00
3905158490960811093,60,24.00,94.04,0,0.00,25.96
3908467420365996435,60,24.00,120.00,0,0.00,0.00
3909735247992591325,60,18.47,91.22,0,5.53,28.78
3919389831997155147,60,24.00,120.00,0,0.00,0.00
